State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
SA,23/01/2020,,0,,,6,,,,,SA Health website,
VIC,25/01/2020,,1,,,,,,,,Victoria DHHS,
NSW,25/01/2020,,3,,,,,,,,NSW Health media release,
NSW,27/01/2020,,4,,,,,,,,NSW Health,
QLD,28/01/2020,,0,,,6,,,,,Queensland Health,
SA,29/01/2020,,0,,,10,,,,,SA Health website,
QLD,29/01/2020,,1,,,,,,,,Queensland Health,
VIC,29/01/2020,,2,,,,,,,,Victoria DHHS,
QLD,30/01/2020,,2,,,,,,,,Queensland Health,
VIC,30/01/2020,,3,,,79,,,,,Victoria DHHS,
NSW,30/01/2020,,4,,,74,,,,,NSW Health,
SA,31/01/2020,,0,,,17,,,,,SA Health website,
NSW,31/01/2020,,4,,,76,,,,,NSW Health,
SA,01/02/2020,,0,,,25,,,,,SA Health website,
NSW,01/02/2020,,4,,,100,,,,,NSW Health,
VIC,01/02/2020,,4,,,162,,,,,Victoria DHHS,
SA,02/02/2020,,2,,,34,,,,,SA Health website,
NSW,02/02/2020,,4,,,128,,,,,NSW Health,
SA,03/02/2020,,2,,,56,,,,,SA Health website,
NSW,03/02/2020,,4,,,158,,,,,NSW Health,
SA,04/02/2020,,2,,,88,,,,,SA Health website,
QLD,04/02/2020,,3,,,,,,,,Queensland Health,
NSW,04/02/2020,,4,,,199,,,,,NSW Health,
NSW,05/02/2020,,4,,,335,,,,,NSW Health,
QLD,05/02/2020,,4,,,,,,,,Queensland Health,
NSW,06/02/2020,,4,,,345,,,,,NSW Health,
QLD,06/02/2020,,5,,,,,,,,Queensland Health,
NSW,07/02/2020,,4,,,393,,,,,NSW Health,
NSW,08/02/2020,,4,,,562,,,,,NSW Health,
NSW,09/02/2020,,4,,,629,,,,,NSW Health,
NSW,10/02/2020,,4,,,674,,,,,NSW Health,
NSW,11/02/2020,,4,,,691,,,,,NSW Health,
NSW,12/02/2020,,4,,,818,,,,,NSW Health,
NSW,13/02/2020,,4,,,884,,,,,NSW Health,
NSW,14/02/2020,,4,,,1053,,,,,NSW Health,
NSW,16/02/2020,,4,,,1188,,,,,NSW Health,
NSW,17/02/2020,,4,,,1222,,,,,NSW Health,
NSW,18/02/2020,,4,,,1401,,,,,NSW Health,
NSW,19/02/2020,,4,,,1551,,,,,NSW Health,
SA,20/02/2020,,2,,,,,,,,SA Health website,
NSW,20/02/2020,,4,,,1702,,,,,NSW Health,
WA,21/02/2020,,1,,,,,,,,media release,
NSW,21/02/2020,,4,,,1819,,,,,NSW Health,
NSW,22/02/2020,,4,,,1983,,,,,NSW Health,
QLD,22/02/2020,,7,,,,,,,,Queensland Health,
NSW,23/02/2020,,4,,,2034,,,,,NSW Health,
SA,24/02/2020,,3,,,,,,,,SA Health website,
NSW,24/02/2020,,4,,,2074,,,,,NSW Health,
NSW,25/02/2020,,4,,,2253,,,,,NSW Health,
QLD,25/02/2020,,8,,,,,,,,Queensland Health,
NSW,26/02/2020,,4,,,2480,,,,,NSW Health,
WA,28/02/2020,,2,,,,,,,,media reports: https://www.abc.net.au/news/2020-02-28/second-case-of-coronavirus-confirmed-in-wa/12011876,
QLD,29/02/2020,,9,,,,,,,,Queensland Health,
NSW,01/03/2020,,5,,,,,,,,NSW Health media release,4 of 5 cases discharged 
NSW,01/03/2020,,6,,,,,,,,NSW Health media release,
VIC,01/03/2020,,9,,,,,,,,Victoria DHHS,
WA,01/03/2020,,,1,594,594,,,,,WA Health,
SA,03/03/2020,,3,,,,,,,,SA Health website,
NSW,03/03/2020,,9,,,,,,,,NSW Health,
